#Sample	unique_to_file_1	unique_to_file_1_snp	unique_to_file_1_indel	unique_to_file_2	unique_to_file_2_snp	unique_to_file_2_indel	both_missing	common_context	common_context_snp	common_context_indel	common_context_discordant_id	called_and_same	called_and_same_hom_ref	called_and_same_hom_var	called_and_same_het	called_but_discordant	called_but_discordant_hom1_het2	called_but_discordant_het1_hom2	called_but_discordant_hom1_hom2	called_but_discordant_het1_het2
B00G7LQ	43628	15467	27482	22445	10724	11721	2481	558623	534894	22483	55029	555625	487539	26891	41195	2998	758	1914	166	160
B00G7LN	43695	15510	27500	22497	10760	11737	2192	558793	535054	22494	55036	555689	487093	26751	41845	3104	750	2030	152	172
B00G7LO	43715	15519	27504	22400	10733	11667	2323	558739	534994	22512	55034	555741	487413	27611	40717	2998	744	1952	143	159
B00G7LL	43661	15471	27507	22475	10740	11735	2234	558807	535029	22527	55068	555803	487073	26999	41731	3004	694	1992	136	182
B00G7LM	43597	15390	27503	22452	10731	11721	2463	558665	534945	22501	55042	555638	487267	27011	41360	3027	789	1908	153	177
B00G7LJ	43714	15505	27511	22494	10732	11762	2353	558616	534856	22526	55056	555677	486561	26718	42398	2939	778	1829	158	174
B00G7LK	43712	15505	27517	22572	10770	11802	2511	558382	534679	22481	55001	555452	486604	27194	41654	2930	771	1807	163	189
B00G7LI	43703	15496	27512	22494	10762	11732	2372	558608	534881	22501	55026	555628	487369	27293	40966	2980	815	1845	161	159
B00G7LH	43712	15491	27541	22413	10687	11726	2255	558797	535007	22540	55054	555927	487660	26990	41277	2870	744	1796	145	185
B00G729	43624	15438	27500	22468	10754	11714	2567	558518	534804	22487	55009	555590	487378	27259	40953	2928	718	1895	158	157
B00G7LG	43667	15472	27506	22465	10717	11748	2488	558557	534788	22527	55076	555595	486963	26391	42241	2962	766	1868	143	185
B00G728	43805	15607	27502	22463	10785	11678	2408	558501	534754	22517	55041	555544	486782	27252	41510	2957	769	1875	148	165
B00G7LF	43660	15471	27509	22504	10762	11742	2272	558741	534967	22526	55073	555686	486584	27138	41964	3055	706	1998	154	197
B00G7LE	43694	15476	27522	22529	10778	11751	2157	558797	535056	22505	55052	556007	487755	27555	40697	2790	693	1757	166	174
B00G7LD	43730	15516	27528	22513	10739	11774	2148	558786	535009	22528	55076	555926	487182	27076	41668	2860	720	1796	145	199
B00G7LC	43672	15466	27513	22496	10771	11725	2470	558539	534815	22496	55019	555608	486852	26727	42029	2931	759	1834	136	202
B00G7LB	43899	15673	27527	22377	10719	11658	2479	558422	534706	22487	55025	555468	486440	27420	41608	2954	750	1855	155	194
B00G723	43679	15465	27524	22495	10713	11782	2250	558753	534944	22553	55054	555738	486997	27130	41611	3015	626	2049	160	180
B00G7LA	43588	15401	27496	22414	10716	11698	2605	558570	534860	22486	55016	555599	486505	26835	42259	2971	715	1912	153	191
B00G722	43550	15390	27484	22376	10694	11682	2663	558588	534886	22466	55002	555681	486485	26879	42317	2907	766	1809	158	174
B00G721	43601	15386	27516	22384	10705	11679	2629	558563	534853	22477	55013	555811	487231	26922	41658	2752	717	1702	169	164
B00G720	43632	15413	27531	22398	10710	11688	2585	558562	534837	22476	55000	555537	487823	27672	40042	3025	732	1981	153	159
B00G727	43832	15637	27513	22420	10722	11698	2609	558316	534624	22464	55011	555435	487224	26792	41419	2881	788	1793	144	156
B00G726	43823	15621	27523	22360	10723	11637	2645	558349	534675	22443	54990	555420	486869	26829	41722	2929	783	1813	166	167
